콘존ID,콘존길이,기점종점방향구분코드,시작노드ID,종료노드ID,차로수,노선번호,제한속도,노선구성순번,콘존명,버스전용차로유무,도로등급구분코드
0330CZE050,1560.00,E,0508,0459,,3300,90.00,5,물왕TG-도리JC,0,109
0330CZE060,1960.00,E,0459,0315,,3300,90.00,6,도리JC-목감IC,0,109
0330CZS010,2000.00,S,0506,0505,,3300,90.00,6,정왕IC-고잔TG,0,109
0330CZS020,1700.00,S,0313,0506,,3300,90.00,5,월곶JC-정왕IC,0,109
0330CZS030,4300.00,S,0507,0313,,3300,90.00,4,연성IC-월곶JC,0,109
0330CZS040,2750.00,S,0508,0507,,3300,90.00,3,물왕TG-연성IC,0,109
0330CZS050,1560.00,S,0459,0508,,3300,90.00,2,도리JC-물왕TG,0,109
0330CZS060,1960.00,S,0315,0459,,3300,90.00,1,목감IC-도리JC,0,109
0351CZE010,4390.00,E,0229,0334,2,0351,100.00,1,통영IC-북통영IC,0,101
0351CZE020,10170.00,E,0334,0335,2,0351,100.00,2,북통영IC-동고성IC,0,101
0351CZE030,5170.00,E,0335,0336,2,0351,100.00,3,동고성IC-고성IC,0,101
0351CZE040,17230.00,E,0336,0337,2,0351,100.00,4,고성IC-연화산IC,0,101
0351CZE050,10930.00,E,0337,0133,2,0351,100.00,5,연화산IC-진주JC,0,101
0351CZE060,7510.00,E,0133,0135,2,0351,100.00,6,진주JC-서진주IC,0,101
0351CZE070,15490.00,E,0135,0151,2,0351,100.00,7,서진주IC-단성IC,0,101
0351CZE080,18580.00,E,0151,0157,2,0351,100.00,8,단성IC-산청IC,0,101
0351CZE090,7380.00,E,0157,0159,2,0351,100.00,9,산청IC-생초IC,0,101
0351CZE100,8330.00,E,0159,0162,2,0351,100.00,10,생초IC-함양JC,0,101
0351CZE110,6430.00,E,0162,0163,2,0351,100.00,11,함양JC-지곡IC,0,101
0351CZE120,13880.00,E,0163,0164,2,0351,100.00,12,지곡IC-서상IC,0,101
0351CZE130,9600.00,E,0164,0184,2,0351,100.00,13,서상IC-장수JC,0,101
0351CZE140,14460.00,E,0184,0188,2,0351,100.00,14,장수JC-덕유산IC,0,101
0351CZE150,16030.00,E,0188,0174,2,0351,100.00,15,덕유산IC-무주IC,0,101
